City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
282,peleduy,59.6289,112.7406,-29.33,96,100,0.96,RU,1674545785
283,manokwari,-0.8667,134.0833,26.72,82,89,1.75,ID,1674545821
284,benito juarez,19.385,-99.165,14.44,58,0,2.57,MX,1674545822
285,salalah,17.0151,54.0924,26.05,53,40,4.63,OM,1674545822
286,lodja,-3.4833,23.4333,27.16,63,100,1.58,CD,1674545823
287,semey,50.4111,80.2275,-8.88,79,100,4.0,KZ,1674545824
288,maneadero,31.7167,-116.5667,10.59,37,0,3.9,MX,1674545825
289,arrecife,28.963,-13.5477,13.99,77,20,3.6,ES,1674545825
290,jalu,29.0331,21.5482,14.33,50,0,4.17,LY,1674545826
291,ginda,30.6945,78.4932,15.24,26,90,2.88,IN,1674545827
292,fussen,47.8739,12.1695,0.89,97,100,1.44,DE,1674545827
293,goose creek,32.981,-80.0326,4.94,86,0,2.06,US,1674545709
294,cap malheureux,-19.9842,57.6142,23.73,82,100,1.88,MU,1674545828
295,toora-khem,52.4675,96.11,-15.51,86,100,0.45,RU,1674545829
296,houma,29.5958,-90.7195,10.0,88,40,3.09,US,1674545830
297,terekli-mekteb,44.1671,45.8698,5.85,52,5,9.57,RU,1674545830
298,kiruna,67.8557,20.2251,-2.49,54,53,7.2,SE,1674545831
299,eureka,40.8021,-124.1637,4.79,99,7,2.03,US,1674545831
300,coahuayana,18.7333,-103.6833,18.85,82,97,1.97,MX,1674545832
301,najran,17.4924,44.1277,20.36,24,1,1.6,SA,1674545833
302,rundu,-17.9333,19.7667,25.2,60,68,2.79,NA,1674545834
303,hailar,49.2,119.7,-28.36,91,6,3.76,CN,1674545834
304,saint simons,31.1352,-81.3901,7.02,70,0,3.09,US,1674545835
305,alugan,12.2188,125.4808,26.77,79,73,6.72,PH,1674545836
306,vestmannaeyjar,63.4427,-20.2734,7.56,89,100,9.15,IS,1674545836
307,nyazepetrovsk,56.0531,59.6028,-10.61,93,100,3.4,RU,1674545837
308,saint-francois,46.4154,3.9054,1.69,87,100,1.54,FR,1674545837
309,nizwa,22.9333,57.5333,17.98,56,70,1.08,OM,1674545838
310,nchelenge,-9.3451,28.734,24.15,68,79,2.73,ZM,1674545839
311,faanui,-16.4833,-151.75,25.76,80,100,7.35,PF,1674545839
312,torbay,47.6666,-52.7314,5.16,97,100,19.03,CA,1674545840
313,kaseda,31.4167,130.3167,2.9,84,100,17.23,JP,1674545840
314,karlskoga,59.3267,14.5239,2.62,98,100,4.47,SE,1674545841
315,morro bay,35.3658,-120.8499,8.64,82,0,2.88,US,1674545842
316,urumqi,43.801,87.6005,-17.47,72,0,2.0,CN,1674545562
317,cayenne,4.9333,-52.3333,24.02,83,75,2.57,GF,1674545843
318,mahibadhoo,3.7833,72.9667,25.58,83,100,8.15,MV,1674545843
319,andenes,69.3143,16.1194,1.99,69,75,15.43,NO,1674545559
320,bambous virieux,-20.3428,57.7575,27.14,78,75,3.09,MU,1674545844
321,lasa,46.6166,10.7002,1.12,83,96,0.4,IT,1674545845
322,marawi,7.9986,124.2928,21.22,98,100,1.62,PH,1674545846
323,talnakh,69.4865,88.3972,-30.45,95,48,3.83,RU,1674545846
324,san patricio,28.017,-97.5169,19.92,77,100,8.31,US,1674545847
325,safaga,26.7292,33.9365,21.39,45,0,6.41,EG,1674545847
326,pringsewu,-5.3582,104.9744,29.37,66,98,1.85,ID,1674545848
327,maun,-19.9833,23.4167,26.98,69,20,2.57,BW,1674545849
328,los llanos de aridane,28.6585,-17.9182,14.86,72,75,4.12,ES,1674545849
329,yanam,16.7333,82.2167,28.89,41,27,3.36,IN,1674545850
330,kibakwe,-6.7167,36.3667,18.09,96,100,1.11,TZ,1674545850
331,souillac,-20.5167,57.5167,27.21,78,75,3.09,MU,1674545851
332,frankfort,-27.2667,28.4833,26.81,27,0,1.68,ZA,1674545822
333,tarauaca,-8.1614,-70.7656,21.86,100,100,1.52,BR,1674545852
334,vila franca do campo,37.7167,-25.4333,14.23,78,77,6.03,PT,1674545853
335,feijo,-8.1642,-70.3536,22.01,99,100,1.65,BR,1674545853
336,hamilton,39.1834,-84.5333,-0.65,89,0,4.63,US,1674545630
337,komsomolskiy,40.4272,71.7189,-0.6,55,3,0.0,UZ,1674545855
338,ust-koksa,50.2696,85.6108,-9.73,80,100,2.3,RU,1674545856
339,elat,29.5581,34.9482,15.91,72,0,3.6,IL,1674545857
340,bandarbeyla,9.4942,50.8122,25.64,59,99,9.44,SO,1674545858
341,wuda,39.4994,106.7117,-10.23,14,2,7.08,CN,1674545858
342,misratah,32.3754,15.0925,16.23,68,0,5.6,LY,1674545859
343,idritsa,56.3316,28.8988,-3.27,88,100,2.56,RU,1674545859
344,berlevag,70.8578,29.0864,2.0,86,75,19.03,NO,1674545860
345,puerto narino,-3.7703,-70.3831,21.49,99,100,0.48,CO,1674545861
346,carutapera,-1.195,-46.02,23.56,93,100,2.56,BR,1674545862
347,helena,46.5927,-112.0361,-1.45,59,0,7.2,US,1674545768
348,ostrovnoy,68.0531,39.5131,-2.63,88,100,8.88,RU,1674545863
349,kamaishi,39.2667,141.8833,-1.88,72,100,7.09,JP,1674545863
350,lata,40.1629,-8.3327,2.73,82,3,2.18,PT,1674545864
351,itaituba,-4.2761,-55.9836,21.68,100,100,0.73,BR,1674545864
352,kenora,49.8167,-94.4337,-12.46,85,100,2.06,CA,1674545865
353,korla,41.7597,86.1469,-9.67,58,72,3.18,CN,1674545866
354,prince george,53.9166,-122.753,-0.31,88,75,6.69,CA,1674545715
355,le port,-20.9373,55.2919,26.0,87,100,4.25,RE,1674545867
356,saint george,37.1041,-113.5841,0.8,64,0,3.09,US,1674545799
357,oxapampa,-10.5775,-75.4017,12.72,97,81,1.53,PE,1674545868
358,hovin,63.1055,10.225,4.03,93,100,2.16,NO,1674545868
359,kashin,57.3592,37.6081,-1.71,91,99,4.71,RU,1674545869
360,desaguadero,-16.5656,-69.0417,7.22,76,100,1.73,PE,1674545869
361,farafangana,-22.8167,47.8333,24.66,93,100,4.13,MG,1674545870
362,bandundu,-3.3167,17.3667,25.53,76,100,1.52,CD,1674545871
363,ancud,-41.8697,-73.8203,11.03,83,45,4.47,CL,1674545871
364,abadan,30.3392,48.3043,9.97,100,100,2.06,IR,1674545872
365,tateyama,34.9833,139.8667,12.28,56,49,14.67,JP,1674545872
